Name,depart_time,price,depart_time_hour,depart_time_minute
대한항공,07:35,126272,7,35
대한항공,10:10,104746,10,10
에어부산,11:45,93051,11,45
에어부산,12:00,96611,12,0
에어부산,13:20,93051,13,20
대한항공,13:50,104746,13,50
제주항공,14:30,86272,14,30
에어부산,14:40,77967,14,40
에어부산,15:00,73051,15,0
대한항공,15:05,104746,15,5
제주항공,15:30,97967,15,30
대한항공,16:20,104746,16,20
제주항공,16:55,55594,16,55
에어부산,17:00,84746,17,0
에어부산,17:00,93051,17,0
제주항공,17:05,51356,17,5
에어부산,17:35,45424,17,35
아시아나항공,17:35,101017,17,35
에어부산,17:55,55594,17,55
아시아나항공,17:55,101017,17,55
대한항공,19:10,104746,19,10
제주항공,19:30,51356,19,30
에어부산,19:45,88984,19,45
아시아나항공,19:45,101017,19,45
